At: 11000, mine: 2363902233, expected: 2363902233, op1: 2148450816, op2: 215451417
At: 726000, mine: 2441486626, expected: 2441486626, op1: 3023053416, op2: 3713400506
At: 737000, mine: 308352547, expected: 308352547, op1: 2565978673, op2: 2037341170
At: 748000, mine: 3949723606, expected: 3949723606, op1: 1035650427, op2: 2914073179
At: 759000, mine: 3414452630, expected: 3414452630, op1: 1350474144, op2: 2063978486
At: 770000, mine: 2272434957, expected: 2272434957, op1: 2625080888, op2: 3942321365
At: 781000, mine: 4274580988, expected: 4274580988, op1: 4117124842, op2: 157456146
At: 792000, mine: 2871327573, expected: 2871327573, op1: 452484405, op2: 2418843168
At: 803000, mine: 2770529609, expected: 2770529609, op1: 1416441256, op2: 1354088353
At: 814000, mine: 2396170012, expected: 2396170012, op1: 2555562544, op2: 4135574764
At: 825000, mine: 738141783, expected: 738141783, op1: 3186693755, op2: 1846415324
At: 836000, mine: 2635573049, expected: 2635573049, op1: 3854316235, op2: 3076224110
At: 847000, mine: 1376448163, expected: 1376448163, op1: 3957707991, op2: 1713707468
At: 858000, mine: 4276389372, expected: 4276389372, op1: 3286611079, op2: 989778293
At: 869000, mine: 1148978312, expected: 1148978312, op1: 4254130427, op2: 1189815181
At: 880000, mine: 2080785655, expected: 2080785655, op1: 3692570808, op2: 2683182143
At: 891000, mine: 1155052169, expected: 1155052169, op1: 1157985674, op2: 4292033791
At: 902000, mine: 942568560, expected: 942568560, op1: 3507498146, op2: 1730037710
At: 913000, mine: 2671756093, expected: 2671756093, op1: 1650495940, op2: 1021260153
At: 924000, mine: 1417353384, expected: 1417353384, op1: 1134173575, op2: 283179809
At: 935000, mine: 959478385, expected: 959478385, op1: 3905219793, op2: 1349225888
At: 946000, mine: 4252939770, expected: 4252939770, op1: 1726879181, op2: 2526060589
At: 957000, mine: 2161287425, expected: 2161287425, op1: 2299987474, op2: 4156267247
At: 968000, mine: 3989330394, expected: 3989330394, op1: 2160848897, op2: 1828481497
At: 979000, mine: 79593992, expected: 79593992, op1: 2121866236, op2: 2252695052
At: 990000, mine: 3974859225, expected: 3974859225, op1: 1901546466, op2: 2073312759
At: 1001000, mine: 2084889336, expected: 2084889336, op1: 3095864433, op2: 3283992199
At: 1012000, mine: 1393053349, expected: 1393053349, op1: 515081021, op2: 877972328
At: 1023000, mine: 2285309199, expected: 2285309199, op1: 4283621630, op2: 2296654865
At: 1034000, mine: 416493104, expected: 416493104, op1: 1616884160, op2: 3094576240
At: 1045000, mine: 4096706536, expected: 4096706536, op1: 220186906, op2: 3876519630
At: 1056000, mine: 2082288887, expected: 2082288887, op1: 3327308940, op2: 3049947243
At: 1067000, mine: 3226885503, expected: 3226885503, op1: 1507794355, op2: 1719091148
At: 1078000, mine: 3235637121, expected: 3235637121, op1: 1473718191, op2: 1761918930
At: 1089000, mine: 3148909942, expected: 3148909942, op1: 342611240, op2: 2806298702
At: 1100000, mine: 380718637, expected: 380718637, op1: 640116044, op2: 4035569889
At: 1111000, mine: 4141918701, expected: 4141918701, op1: 2240196107, op2: 1901722594
At: 1122000, mine: 720629845, expected: 720629845, op1: 1321831325, op2: 3693765816
At: 1133000, mine: 3614602670, expected: 3614602670, op1: 3633456817, op2: 4276113149
At: 1144000, mine: 1865864926, expected: 1865864926, op1: 3383456915, op2: 2777375307
At: 1155000, mine: 329398823, expected: 329398823, op1: 101611788, op2: 227787035
At: 1166000, mine: 2622590263, expected: 2622590263, op1: 520011069, op2: 2102579194
At: 1177000, mine: 1587855548, expected: 1587855548, op1: 1540727223, op2: 47128325
At: 1188000, mine: 2045252339, expected: 2045252339, op1: 3772039873, op2: 2568179762
At: 1199000, mine: 225398298, expected: 225398298, op1: 3742849726, op2: 777515868
At: 1210000, mine: 1920136931, expected: 1920136931, op1: 2222628360, op2: 3992475867
At: 1221000, mine: 2080353015, expected: 2080353015, op1: 2215977480, op2: 4159342831
At: 1232000, mine: 4224140279, expected: 4224140279, op1: 4153749743, op2: 70390536
At: 1243000, mine: 2065965302, expected: 2065965302, op1: 4154340079, op2: 2206592519
At: 1254000, mine: 1545501367, expected: 1545501367, op1: 217911577, op2: 1327589790
At: 1265000, mine: 2395176220, expected: 2395176220, op1: 1984662508, op2: 410513712
At: 1276000, mine: 3550389158, expected: 3550389158, op1: 2639961146, op2: 910428012
At: 1287000, mine: 1151662728, expected: 1151662728, op1: 3984319194, op2: 1462310830
At: 1298000, mine: 2992785764, expected: 2992785764, op1: 4152488175, op2: 3135264885
At: 1309000, mine: 1807248087, expected: 1807248087, op1: 1645197764, op2: 162050323
At: 1320000, mine: 1660974789, expected: 1660974789, op1: 4237224185, op2: 1718717900
At: 1331000, mine: 1943934182, expected: 1943934182, op1: 1491421617, op2: 452512565
At: 1342000, mine: 4053052898, expected: 4053052898, op1: 62988039, op2: 3990064859
At: 1353000, mine: 3190733692, expected: 3190733692, op1: 3172241018, op2: 18492674
At: 1364000, mine: 390527534, expected: 390527534, op1: 1645736900, op2: 3039757930
At: 1375000, mine: 633581130, expected: 633581130, op1: 2146125311, op2: 2782423115
At: 1386000, mine: 1381229732, expected: 1381229732, op1: 833518947, op2: 547710785
At: 1397000, mine: 2298392337, expected: 2298392337, op1: 4004047581, op2: 2589312052
At: 1408000, mine: 311718436, expected: 311718436, op1: 3034029161, op2: 1572656571
At: 1419000, mine: 2605845813, expected: 2605845813, op1: 2046475251, op2: 559370562
At: 1430000, mine: 2189831428, expected: 2189831428, op1: 1895427041, op2: 294404387
At: 1441000, mine: 3347613582, expected: 3347613582, op1: 1798811606, op2: 1548801976
At: 1452000, mine: 4107475433, expected: 4107475433, op1: 3710633146, op2: 396842287
At: 1463000, mine: 1787652308, expected: 1787652308, op1: 3277620358, op2: 2804999246
At: 1474000, mine: 2119812860, expected: 2119812860, op1: 1083131777, op2: 1036681083
At: 1485000, mine: 783580764, expected: 783580764, op1: 1070053759, op2: 4008494301
At: 1496000, mine: 3300210056, expected: 3300210056, op1: 476990776, op2: 2823219280
At: 1507000, mine: 3481405854, expected: 3481405854, op1: 1085638529, op2: 2395767325
